,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,,Total
27,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
30,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
33,1,,,,,,,,,,2,,,,,,2,,1,1,1,3,,,,,,,11
36,,,1,,,,,,,1,,,,1,1,1,2,3,3,6,6,4,2,2,,1,,,34
39,,2,,,2,,,,1,,1,,,,1,2,2,4,4,5,9,1,2,1,1,,,,38
42,,,,,,,,,1,2,,,2,1,,3,2,4,8,12,9,5,4,2,,,1,,56
45,,,,,,,,,,,,,,2,,2,2,3,3,3,8,7,1,,,,,,31
48,,,,,1,,,,1,1,,,,1,,2,2,4,4,4,4,12,7,2,1,,,,46
51,,,,,,,,,,,,1,1,,,2,,3,1,4,8,3,5,3,2,,1,,34
54,,,,,,,1,,,,1,,,1,,,,1,,3,1,3,3,,1,,,,15
57,,,,,,,,,,1,,1,2,,1,,,,,1,2,5,1,1,2,1,,1,19
60,,,,,,,,,,,,,,,,,,2,,,1,,,,3,,,,6
63,,,,,,,,,,,,,,,,,,1,,1,1,1,2,,2,1,,,9
66,,,,,,,,,,,,,,,,,,,,,1,,1,4,,,,,6
69,,,,,,,,,,,,,,,,,,,,1,,1,,2,2,1,,,7
72,,,,,,,,,,,,,,,,,,,,,1,,1,1,2,,,,5
75,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,3
,1,2,1,0,3,0,1,0,3,5,4,2,5,6,3,12,12,25,24,41,52,46,31,19,17,4,2,1,322
