21	29	38	53
4	15	26	69
1	12	47	50
5	11	18	36
5	11	18	36
36	39	44	82
16	39	55	59
1	5	33	41
1	12	33	41
53	72	75	77
4	10	20	47
16	36	46	63
16	36	46	63
17	23	46	73
16	20	21	84
1	6	17	79
12	24	39	60
24	30	39	60
6	24	36	48
6	24	36	48
14	23	69	77
14	18	23	69
3	13	36	44
3	13	36	44
3	6	13	76
32	42	60	82
26	28	64	90
61	78	88	90
61	78	88	90
4	8	9	83
1	9	41	77
17	24	51	75
11	22	48	70
8	11	22	70
15	32	40	48
19	24	36	44
32	56	77	83
18	22	36	62
4	21	30	32
37	38	70	71
37	38	70	71
5	15	47	53
28	37	38	70
2	65	73	85
9	13	31	39
29	35	49	76
30	46	73	77
20	44	52	82
14	21	61	80
12	37	79	88
28	54	55	71
5	40	46	47
14	84	86	89
1	21	31	62
7	38	57	58
15	61	66	69
12	37	45	53
39	48	55	61
11	67	76	88
11	67	76	88
63	67	76	88
63	67	76	88
11	63	76	88
11	67	76	88
11	67	76	88
11	63	76	88
11	63	76	88
11	63	76	88
11	63	76	88
11	63	76	88
11	63	76	88
11	67	76	88
11	67	76	88
11	63	76	88
11	67	76	88
11	63	76	88
11	63	76	88
11	67	76	88
3	23	69	75
4	11	57	83
16	43	72	88
12	24	30	63
11	17	37	45
29	40	50	64
6	18	81	89
6	13	20	26
14	31	32	82
8	15	40	67
11	21	35	39
10	21	31	82
2	17	45	84
17	53	76	83
7	9	11	90
5	19	60	88
16	25	44	47
13	29	58	70
15	22	44	66
15	22	44	66
5	13	34	67
46	55	59	61
11	44	59	86
34	72	81	84
15	37	60	66
15	37	60	66
25	28	80	82
40	67	76	84
19	26	49	88
5	8	70	87
5	8	29	70
9	16	17	77
2	11	44	88
8	18	27	39
25	29	44	45
7	39	48	90
3	10	13	24
9	13	20	37
12	32	61	62
9	23	24	27
25	31	34	85
54	60	64	77
21	29	41	81
3	10	11	33
1	45	60	86
20	24	60	61
1	23	64	88
5	40	46	47
3	36	69	77
18	31	43	81
14	37	42	81
2	38	58	86
20	34	65	83
15	19	75	78
41	55	88	90
41	55	88	90
49	58	60	79
30	43	60	65
20	38	66	73
4	32	66	82
11	36	44	69
16	25	39	85
22	48	54	65
6	16	66	88
19	23	49	90
67	76	87	90
29	30	71	83
13	33	35	55
2	3	48	90
30	45	71	77
11	21	22	38
22	24	49	66
1	21	60	69
9	24	65	84
13	46	56	57
4	48	56	66
39	59	64	84
42	46	62	73
1	9	35	76
1	2	9	76
1	2	9	35
9	67	69	77
12	45	52	63
3	37	83	90
21	26	30	55
9	45	54	90
11	37	40	75
55	67	70	78
17	33	47	77
5	25	35	65
5	25	35	65
10	21	38	88
2	18	25	55
6	10	86	88
4	8	20	77
12	34	44	75
5	32	65	80
5	60	65	80
7	46	47	48
7	47	48	70
15	21	40	90
15	21	40	90
15	21	40	90
21	63	84	87
1	11	19	59
3	27	68	79
1	3	4	5
6	27	39	44
27	39	44	45
6	27	39	44
20	59	68	85
47	57	60	77
57	60	66	77
1	9	21	52
5	12	77	88
2	9	19	57
2	9	19	57
12	21	43	51
36	67	79	90
9	21	40	90
65	74	85	87
17	22	31	52
2	14	44	57
1	6	13	26
39	49	55	75
18	35	51	76
4	12	15	44
23	37	49	57
6	19	21	44
1	3	11	13
3	4	11	13
1	8	15	22
1	19	36	76
2	6	9	22
24	37	76	89
17	18	55	88
1	20	57	60
11	17	32	41
11	17	32	44
18	31	49	63
11	43	68	77
17	58	69	79
6	7	12	89
9	12	67	74
8	12	54	75
4	39	41	68
44	51	77	88
8	31	53	88
10	30	38	82
9	19	46	78
3	4	34	70
6	42	55	89
13	22	35	82
8	16	46	64
18	25	36	80
3	7	11	31
47	52	74	84
47	83	87	90
14	35	71	80
10	20	35	90
4	14	68	74
1	17	23	90
7	27	37	44
13	38	67	76
13	15	52	90
21	25	51	66
1	7	10	41
23	24	34	62
18	19	20	60
27	55	76	88
26	39	41	48
1	13	70	77
18	44	45	90
9	47	69	79
7	8	17	30
7	8	17	30
4	12	25	68
30	35	62	77
30	35	62	77
18	24	52	62
2	64	67	77
2	64	67	77
7	11	17	47
15	22	36	65
11	63	69	71
30	49	63	81
15	20	26	65
11	44	56	90
11	44	56	90
11	44	56	90
1	3	6	16
5	12	14	26
4	7	8	11
4	7	8	11
8	25	34	88
23	45	63	69
49	50	64	67
33	36	47	57
27	36	39	72
27	36	39	72
1	11	14	90
19	55	88	90
8	14	63	65
14	28	67	83
2	14	55	72
21	31	69	71
42	49	66	88
15	25	43	63
8	11	27	85
7	13	55	58
6	30	71	90
4	9	10	17
9	10	17	46
5	6	47	65
18	70	88	90
50	55	58	71
5	11	20	44
5	15	28	78
6	68	71	80
3	27	38	48
35	36	41	55
16	57	70	79
23	31	67	80
7	10	30	70
2	16	36	88
19	20	41	66
1	33	40	90
4	17	34	51
2	26	36	40
1	27	67	70
1	3	5	6
20	37	40	41
27	29	37	52
13	43	47	71
16	34	63	72
29	43	72	76
1	11	39	90
1	11	39	90
59	60	61	83
19	27	45	85
65	69	72	74
10	37	38	55
10	37	38	55
10	37	38	55
15	29	30	77
10	29	63	90
12	53	76	86
24	46	73	88
8	54	55	90
