83	4	51	27	5
45	87	50	47	6
15	38	54	11	29
37	19	50	88	10
31	71	81	50	27
53	10	84	22	45
84	16	87	37	1
90	39	44	89	45
15	5	21	6	8
36	31	57	4	52
22	8	68	70	6
67	29	16	32	85
9	35	88	38	16
36	72	38	43	3
80	78	87	1	9
17	59	41	75	37
39	30	64	28	56
83	31	64	27	66
7	23	12	57	83
63	49	85	36	83
71	58	30	35	64
68	41	88	56	11
46	77	49	88	50
62	89	28	30	38
57	32	26	84	38
6	20	38	52	57
80	68	77	57	11
3	46	16	69	44
50	42	71	33	66
53	7	76	70	30
14	42	7	1	21
21	36	63	39	9
51	89	17	34	4
59	5	45	44	89
64	11	70	53	65
31	76	70	2	33
76	46	64	21	82
4	30	70	6	11
81	30	24	16	83
11	45	3	90	82
36	45	42	83	90
3	19	9	53	8
40	19	58	55	38
27	76	59	17	75
37	67	35	74	57
53	38	6	26	32
54	80	15	65	62
31	38	37	61	74
12	25	38	14	10
31	87	54	20	53
71	8	41	64	35
69	89	66	82	20
19	30	3	42	18
79	43	22	82	44
86	61	2	14	7
19	34	7	59	56
40	65	43	15	55
64	4	26	55	22
9	64	22	51	28
25	75	17	38	82
33	14	54	30	8
27	25	58	67	48
2	39	36	6	90
84	87	82	86	23
37	87	73	64	27
48	5	80	46	86
62	2	59	54	55
68	70	29	28	37
53	90	48	73	65
7	64	46	48	79
70	21	35	77	23
61	41	12	84	52
21	79	7	60	53
35	78	7	66	3
30	74	89	88	14
42	75	25	63	36
17	65	45	69	42
56	1	21	6	86
37	11	19	13	81
42	86	11	17	64
54	15	3	51	85
24	87	77	88	17
10	29	66	17	76
44	88	45	16	51
36	51	35	37	62
53	79	18	6	12
20	62	73	26	80
55	30	59	36	86
60	35	27	17	65
79	63	86	83	55
24	60	42	52	20
70	80	56	6	18
32	41	28	17	21
44	59	21	38	55
57	62	82	34	39
15	1	84	56	20
71	34	65	13	60
13	35	48	29	71
73	23	26	58	85
14	53	10	58	89
37	17	8	52	20
59	12	4	48	82
63	62	25	3	42
90	70	42	47	66
3	51	74	43	20
45	4	64	79	31
58	59	16	83	82
81	73	77	54	70
25	64	83	27	62
44	58	35	43	81
40	85	16	15	83
47	59	76	48	88
76	60	86	72	35
86	23	22	58	54
43	54	30	73	22
17	73	41	11	67
75	14	7	32	31
49	44	69	27	3
48	53	43	20	78
17	11	50	38	71
9	84	80	74	85
39	78	1	71	44
80	72	81	44	20
86	83	72	55	35
16	34	24	20	33
83	43	80	42	25
61	22	80	76	85
88	58	28	43	62
38	37	57	54	80
30	10	58	76	68
18	1	50	47	24
35	80	89	16	39
86	50	21	49	89
78	52	54	59	9
64	29	32	8	26
86	17	19	73	40
33	39	18	5	53
22	82	1	3	62
42	17	62	21	13
36	43	41	2	28
77	20	79	18	27
67	81	30	82	79
75	69	64	76	66
8	9	1	30	3
79	73	41	67	24
14	63	31	18	78
29	70	22	56	64
73	25	36	66	68
69	45	78	30	44
27	31	83	7	48
75	30	62	6	10
70	59	32	6	81
64	78	69	22	85
56	21	63	27	53
72	61	26	53	33
89	32	5	34	26
4	41	70	81	28
51	40	86	62	68
47	16	90	39	44
32	29	34	90	21
67	46	52	53	30
77	54	40	72	23
5	69	29	71	26
63	74	58	2	24
21	62	79	44	19
3	30	37	27	75
74	78	61	56	5
2	74	51	38	61
47	59	57	38	15
37	18	45	48	77
59	30	50	52	60
50	36	44	57	61
61	80	52	15	71
70	2	22	52	3
57	83	11	64	38
40	11	23	84	28
33	32	70	83	40
49	60	15	17	75
74	7	41	22	19
47	85	34	82	55
72	5	51	32	3
25	90	38	14	87
86	42	16	73	22
82	23	40	15	84
69	83	48	6	89
73	85	9	33	68
40	24	78	6	53
78	33	72	34	45
57	36	2	6	51
62	73	27	54	15
71	39	52	3	2
74	7	78	39	16
11	31	66	26	59
87	71	35	72	3
38	65	8	11	82
50	17	87	42	18
80	5	11	28	35
66	9	7	78	22
32	71	83	64	85
15	4	12	37	39
51	57	79	84	80
57	38	32	31	13
81	30	63	61	55
35	5	54	81	74
29	22	76	77	81
9	28	11	32	5
36	17	50	39	49
44	37	59	88	61
57	37	10	70	45
42	86	15	21	67
53	73	52	74	70
36	24	62	19	88
85	54	78	87	57
19	75	42	6	27
87	9	50	20	61
7	40	54	67	69
61	31	66	4	70
90	4	15	14	35
54	65	20	89	90
77	83	32	41	44
28	77	25	82	86
41	40	64	36	82
5	89	36	85	23
10	52	49	84	35
12	21	1	27	30
29	23	85	42	25
51	63	17	82	52
2	6	33	24	18
65	58	14	82	78
24	47	52	68	40
2	90	32	10	17
9	67	89	78	21
82	47	84	40	35
82	31	73	78	65
22	17	31	33	32
64	10	73	63	36
27	65	39	75	28
32	73	48	43	56
49	67	34	68	55
